,parentId,authorDisplayName,replyComment,publishedAt,likeCount
79,Ugw5m_mYMJcBlBI8OTZ4AaABAg,ITSub잇섭,어?...,2020-01-16T13:15:07.000Z,0
80,Ugwz3FnOAVmTNC0HVw54AaABAg,ITSub잇섭,그래도 적절한 스피커 품질을 내주면 좋죠 ㅎㅎ,2020-01-16T13:15:15.000Z,0
81,UgyceHPE-E0t4GxomTl4AaABAg,ITSub잇섭,13인치와 비교한다면 조금 더 저렴하죠 ㅎㅎ,2020-01-16T13:15:25.000Z,0
82,UgzjNvGCDTELPAN5rsB4AaABAg,RADISH,@ITSub잇섭 추천해주셔서 진짜 감사합니다ㅎㅎ,2020-01-16T13:20:23.000Z,0
83,UgzjNvGCDTELPAN5rsB4AaABAg,ITSub잇섭,축하드립니다!,2020-01-16T13:15:30.000Z,1
84,UgxtbpfRqCt5LBNWdSF4AaABAg,ITSub잇섭,ㅠㅠ,2020-01-16T13:15:33.000Z,0
85,UgwMqs29pdVFU9KpmIZ4AaABAg,ITSub잇섭,급,2020-01-16T13:15:36.000Z,0
86,UgzX-J_8kjLu0kIBSk14AaABAg,곡갈곤,"ITSub잇섭 그램편도 기대하겠읍니다••• 항상 잘보고 있어요,,",2020-01-16T13:21:46.000Z,0
87,UgzX-J_8kjLu0kIBSk14AaABAg,ITSub잇섭,일단 그램까지 해보구요!,2020-01-16T13:15:42.000Z,0
88,Ugy9PCDIa5Rt_GN-UKd4AaABAg,ITSub잇섭,그래서 오해하실까봐 영상에서도 QLED가 진짜 QLED가 아닌 퀀텀닷 시트를 더해 색재현율을 높인것이라고 언급하고 있습니다 ㅎㅎ,2020-01-16T13:16:05.000Z,0
89,Ugz5paYXSOSjPYLpZPx4AaABAg,JW,@ITSub잇섭 다 된 밥에 삼성 디자인  뿌리기...저 지문인식 위치는 도대체...??,2020-01-16T13:21:01.000Z,0
90,Ugz5paYXSOSjPYLpZPx4AaABAg,ITSub잇섭,터치패드의 위치는 아주 마음에 듭니다 ㅎㅎ,2020-01-16T13:16:13.000Z,0
91,UgxyzlHW_NxJIt2n3L14AaABAg,ITSub잇섭,거... 음질은 좋은데 한국 계정은 넘 노래가 없어,2020-01-16T13:16:25.000Z,1
92,Ugxz4ob2Kkk5HT40xyp4AaABAg,조성엽,@ITSub잇섭 이온은 위스키보다 클럭올린 코멧이니.. 리사수님을 믿는수밖엔.. ㅠㅠ,2020-01-16T13:20:42.000Z,0
93,Ugxz4ob2Kkk5HT40xyp4AaABAg,ITSub잇섭,이온도 비슷비슷해보입니다;;,2020-01-16T13:16:31.000Z,0
94,UgxlJqLMy_sJL8uMpxl4AaABAg,ITSub잇섭,"적응하니 그나마 좀 낫긴한데,
그래도 누를때 조금씩 불편합니다 ㅠㅠ",2020-01-16T13:16:45.000Z,0
95,UgzVweMD1PxRWwmYD3l4AaABAg,김정환,@김페엥수 119 언에듀 파트,2020-01-16T13:34:37.000Z,0
96,UgzVweMD1PxRWwmYD3l4AaABAg,김페엥수,요고 제목 뭐였음,2020-01-16T13:31:34.000Z,0
97,UgzVweMD1PxRWwmYD3l4AaABAg,오로나민,0:01,2020-01-16T13:21:43.000Z,2
98,UgyYTJYW_iLfAvN0r8N4AaABAg,ITSub잇섭,14인치 내주시오,2020-01-16T13:16:54.000Z,0
99,UgyYTJYW_iLfAvN0r8N4AaABAg,qudgus,맥북 핥핥,2020-01-16T13:09:47.000Z,0
100,UgyYTJYW_iLfAvN0r8N4AaABAg,율리우스,빨리 3월 맥북을 출시해 주시지요,2020-01-16T13:09:37.000Z,0
101,UgwhyEbFIXBUwMfL9jV4AaABAg,ITSub잇섭,사양 높은 게이밍쪽도 한번 고려해봐야겠습니다 ㅎㅎ,2020-01-16T13:17:19.000Z,0
102,Ugy-A22G2SHX4pl_Xnd4AaABAg,ITSub잇섭,"제가 느낀것과 동일하네요. ㅎㅎ
저도 갤럭시북S를 오래쓰다가 이온을 써보니 솔직히 제품의 완성도는 S가 훨씬 좋다고 느꼈습니다.
arm이라는 것에 타겟층이 뚜렷하지만, 북S의 하드웨어가 진짜 잘만들어졌다는 것을 다시 느꼈어요 ㅎㅎ",2020-01-16T13:14:43.000Z,0
103,UgxHXEQB8s6tMoLHkJd4AaABAg,데헷,그램 추천,2020-01-16T13:16:44.000Z,0
104,UgxHXEQB8s6tMoLHkJd4AaABAg,Trinity Force,저는 플렉스 쓸것같아요 그그 180° 돌아가서 태블릿처럼 쓰는거가 편해보여서,2020-01-16T13:16:16.000Z,0
105,UgxHXEQB8s6tMoLHkJd4AaABAg,슈팅스타,플렉스 추천,2020-01-16T13:15:45.000Z,0
106,UgxHXEQB8s6tMoLHkJd4AaABAg,g g,전 그램 추천,2020-01-16T13:13:26.000Z,0
107,Ugy5goAScRCjpYhgAZh4AaABAg,seulchan park,"아니 맥북프로랑 이온이랑 스피커 개수부터가 다르잖아요
그리고 AKG가 이딴거라뇨 얼마나 유명한 음향회산데",2020-01-16T13:52:36.000Z,0
108,UgxVo92emS15AYLlIeN4AaABAg,BOYSONA,나도 그생각ㅋㅋㅋㅋㅋ,2020-01-16T13:04:56.000Z,0
109,UgyIS43P04SiaM8EFpd4AaABAg,박동현,@ITSub잇섭 잇섭님께서 답글을 달아주시다니!! 감사합니다 ^_^,2020-01-16T13:41:07.000Z,0
110,UgyIS43P04SiaM8EFpd4AaABAg,ITSub잇섭,"스피커를 비교해보니 급차이가 너무나서,
그램구입하면 같이 비교해보겠습니다 ㅎㅎ",2020-01-16T13:17:47.000Z,1
111,Ugw1HJkrpxTvtHeG6W94AaABAg,ITSub잇섭,LG 34UM95인데 엄청 오래되서 요즘은 더 좋은 제품들이 많아요 ㅎㅎ,2020-01-16T13:18:02.000Z,0
112,UgysRpXohM5n9IBj5fZ4AaABAg,아이고머니,​@ITSub잇섭저는 11번가에서 샀습니다.,2020-01-16T13:22:18.000Z,0
113,UgysRpXohM5n9IBj5fZ4AaABAg,ITSub잇섭,엥?? 저도 하이마트 온라인으로 구입했긴 했는데...,2020-01-16T13:18:29.000Z,0
114,Ugzvm8S2ImcHg12Eful4AaABAg,ITSub잇섭,콕스 ck87 강추드립니다 ㅎㅎ,2020-01-16T13:18:38.000Z,0
