149,허세용Seyong,이거 섬네일보고 안누를 수있냐고ㅋㅋ젊은친구 형믿고 더블로갑니다
150,시아아,ㅋㅋ기ㅋㅋㅋㅋ  광고들어올줄 알았음
151,고니,저 중간에 노란색옷 뒷모습 김영철 이네ㅋㅋㅋㅋㅋㅋ
152,치요,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜나오네
153,서영훈,ㅋㅋㅋㅋ 결국 한편찍으셨넵  추카드링니다~~ㅋ
154,다카!!다카!!,설마 했는데 나왔어 ㅋㅋㅋㅋ
155,윤상진,화란아 나도 더블페티 올익스트라에 라지 사이즈 업 해서 먹고산다.
156,술인,진짜보고싶었는데 광고로 나올줄이야 ㅠㅠㅠㅠ 버거킹 개좋아 ㅋㅋㅋㅋㅋㅋㅋ
157,Mr.Blackhole미스터블랙홀,사딸라에 이어서 ㅋㅋㅋ떠블로가 ㅋㅋ
158,겜프로,와 이거 볼려고 광고르루직접 보네ㅋㅋㅋㅋ
159,HYL,기다리고 있었다 ㅋㅋㅋ
160,신쟁,ㅋㅎㅋㅎㅋㅎㅋㅎㅎㅋㅋㅎㅋㅎ
161,샹크스,앞으로 영화에서도 자주보이시길 ㅠㅠ 느와르너무 잘어울리심
162,랩갓,유튜브 들어올때마다 한번씩은 보게되네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
163,SiKim,0:16 0:19버거킹 유니버스가 열립니다.
164,쿠티,4백만 ㅋㅋㅋ 조회수 미쳤ㅋㅋㅋ
165,김성훈,ㅋㅋㅋㅋ나올줄알았다
166,덜익은도우너,광고 실수로 누른거말고 직접 클릭해서 들어온거 처음ㅋㅋㅋ
167,뜰뒤,ㅋㅋㅋㅋ 김두한에 어서 곽철용
168,스마일꽃,ㅋㅋㅋㅋ묻고 더블로가!
169,강지현,명대사 다 나오는데 거부감이없엌ㅋㅋㅋㅋ
170,현은설,ㅋㅋㅋ왜 안나오나 했다
171,찐따판별기,ㅋㅋㅋ안들어올수가없다
172,쏠망쏠망[ossol&mangtto&mango],질리질않아ㅋㅋㅋ광고가
173,깜보,찬호형 광고 이후로 두번째로 들어왔네ㅋㅋㅋ
174,은진,ㅋㅋㅋㅋ결국 CF까지 나오고야 말았네 진짜 광고 보려고 들어온거 처음인듯
175,RoyKim,ㅋㅋ 안들어 올 수 가없는 광고
176,오쏠오쏠귀여워,광고를 클릭하게만들다니ㅋㅋㅋㅋㅋㅋㅋ
177,김정훈,철용곽형님ㅋㅋ 넘흐 웃경
178,J.bluebirdsyndrome,너무 좋아요 ㅋㅋㅋ
179,PARKSOONDAE,광고를 보고싶어서 왔네 ㅋㅋㅋㅋㅋㅋㅋ 곽철용 믿고 더블로간다 버거킹 ㄱㄱ
180,foxi,왘ㅋㅋㅋㅋㅋ
181,DK-soul,처음으로 알고 클릭한 광고ㅋㅋㅋㅋ
182,태성,ㅋㅋㅋㅋㅋㅋㅋcf찍으셧넹ㅋㅋ
183,DGKIM,중후한거보솤ㅋㅋㅋ마지막 버거킹 캣치브랜드 존나 멋있엌ㅋㅋ
184,행운이,ㅋㅋㅋ 묻고 더블로가 역대급 유행어
185,웃Kss,ㅋㅋㅋㅋㅋㅋㅋ최고네
186,MooK!,아 대박 ㅋㅋ 광고를 클릭해서 보게될줄이야~^^ 버커킹 진짜 굿 초이스다~
187,문정호,곽철용ㅋㅋㅋㅋ
188,시낭,뒤에 김영철먼데ㅋㅋㅋ
189,Xero[GD],ask and go blue!!
190,mtj,Burgerking is Bring me here
191,ᄒᄒ,이 광고 보는데 버거킹 앱 알림뜨뉴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
192,DavidKim,뭐야 형 왜 거기서나와ㅋㅋㅋㅋㅋ
193,UNKNOWN,버거킹 유니버스 개웃김ㅋㅋㅋㅋㅋ
194,오민TV,참나 이게 현실이 되다니ㅎㅎㅎ
195,소심한쿨가이,ㅋㅋㅋㅋ 진짜 찍었네
196,SS,버거킹 진짜 광고모델은 잘 뽑네ㅋㅋ
